model,year,region,color,fuel_type,transmission,engine_size_l,mileage_km,price_usd,sales_volume
X1,2022,Africa,Blue,Hybrid,Automatic,2.1,150556,94234,1123
3 Series,2021,North America,Black,Diesel,Manual,2.2,136630,118804,6033
i3,2020,Asia,Silver,Petrol,Manual,4.7,10924,59048,1945
i3,2023,South America,Grey,Diesel,Manual,3.5,104952,108097,8213
X1,2023,Africa,Blue,Diesel,Manual,3.4,17861,84643,4966
X5,2022,Africa,Red,Electric,Automatic,2.1,133477,45155,8230
X3,2024,Middle East,Blue,Electric,Manual,4.2,60059,42005,8079
M3,2024,Middle East,Silver,Electric,Automatic,3.0,133057,113604,6899
X3,2023,Africa,Black,Diesel,Automatic,4.4,43180,114133,9861
X3,2024,Middle East,Grey,Petrol,Automatic,4.9,42536,67693,5459
i3,2024,Middle East,Black,Diesel,Automatic,4.3,150421,33098,8304
X6,2021,Africa,Blue,Diesel,Automatic,3.2,136837,57848,9269
i3,2021,Asia,White,Petrol,Automatic,3.1,174541,76136,6847
i8,2024,Africa,Silver,Diesel,Automatic,2.3,29342,91687,1027
5 Series,2024,North America,Red,Diesel,Manual,1.8,174900,61652,519
M3,2022,Middle East,Black,Diesel,Manual,4.2,16019,69727,7251
X3,2020,Asia,White,Diesel,Automatic,4.8,103780,67452,3912
5 Series,2022,Middle East,Grey,Petrol,Automatic,4.2,96325,109395,3983
X1,2023,Middle East,Grey,Electric,Manual,2.8,134410,88398,9035
M3,2021,North America,Blue,Petrol,Manual,3.0,24312,110389,8891
3 Series,2020,Europe,Blue,Electric,Automatic,3.9,10753,52125,3150
X6,2022,South America,White,Diesel,Manual,4.7,95320,38918,9412
X6,2023,South America,Red,Petrol,Manual,1.8,11856,48796,8621
X1,2023,Middle East,Silver,Electric,Manual,1.6,59287,88851,2972
X3,2021,Middle East,Silver,Electric,Automatic,4.7,163854,93144,634
M5,2020,Asia,Grey,Petrol,Manual,2.7,31379,104809,6854
i3,2022,Europe,Red,Hybrid,Automatic,1.6,175641,96232,1626
M5,2024,Europe,White,Diesel,Manual,3.2,10779,111718,6341
7 Series,2023,Africa,Red,Electric,Manual,1.7,196283,30870,8090
X5,2024,North America,Blue,Diesel,Manual,3.7,111686,47320,3174
7 Series,2024,Asia,Red,Diesel,Manual,3.5,51495,52225,7102
i3,2021,Asia,Red,Electric,Manual,3.8,8876,31670,6018
X3,2020,Middle East,Black,Electric,Automatic,3.3,4593,89612,4686
i8,2022,Asia,Silver,Diesel,Automatic,3.9,111097,116375,281
i3,2023,Europe,Red,Petrol,Automatic,4.2,76075,59086,5625
i3,2021,Africa,Black,Hybrid,Automatic,4.0,126565,89622,3963
M5,2021,Asia,Red,Diesel,Manual,2.2,33263,97053,1609
5 Series,2021,South America,Black,Hybrid,Manual,4.2,41983,46811,5299
X5,2021,Asia,White,Electric,Automatic,2.9,138652,77320,8034
M3,2024,Africa,Red,Hybrid,Automatic,4.4,190660,76285,4020
i3,2024,Middle East,Silver,Hybrid,Automatic,3.6,198481,68132,7679
M5,2020,Europe,Black,Petrol,Automatic,1.5,195527,39168,8489
X1,2020,Asia,White,Hybrid,Manual,4.4,177567,102767,7248
X6,2021,Middle East,Blue,Hybrid,Manual,4.5,157183,30490,7232
5 Series,2021,South America,Silver,Diesel,Automatic,4.8,16662,36645,692
i8,2024,Europe,White,Hybrid,Automatic,2.2,82543,30342,8005
X3,2022,Africa,Silver,Electric,Manual,1.7,194033,96822,8075
5 Series,2021,Middle East,Blue,Petrol,Manual,2.9,43120,104032,9022
X3,2021,Africa,White,Electric,Manual,2.4,182857,72489,2398
M5,2020,Asia,Grey,Diesel,Automatic,2.1,20970,73337,3157
7 Series,2024,Middle East,White,Electric,Manual,2.9,164980,40025,862
7 Series,2024,Africa,Red,Hybrid,Automatic,4.7,110690,100671,1544
3 Series,2020,Middle East,Silver,Petrol,Automatic,2.3,41808,59823,6825
3 Series,2023,Europe,Red,Petrol,Automatic,3.9,47400,103434,7707
M5,2020,South America,Grey,Electric,Manual,2.0,112509,81525,1020
M5,2021,Asia,Grey,Hybrid,Manual,2.7,144308,50185,4033
i8,2024,Africa,Silver,Electric,Manual,2.7,116644,104673,8595
i3,2022,Africa,Red,Electric,Manual,2.7,110174,111878,914
X3,2023,Asia,Black,Diesel,Automatic,4.9,163446,84310,6383
i8,2020,North America,Black,Diesel,Automatic,4.0,115660,97878,9807
3 Series,2020,North America,Black,Diesel,Automatic,1.9,133043,94554,7094
5 Series,2022,South America,White,Hybrid,Manual,2.0,42875,116198,7036
M5,2020,Africa,Grey,Hybrid,Manual,3.9,132224,55071,4319
M5,2023,Middle East,Black,Petrol,Automatic,3.0,176310,35265,6701
X1,2020,Asia,White,Hybrid,Automatic,1.7,70956,67171,6039
7 Series,2020,Asia,Silver,Hybrid,Automatic,4.5,10769,87391,8245
i8,2020,North America,White,Hybrid,Manual,3.8,32343,110305,6096
X3,2022,Asia,Silver,Electric,Manual,3.9,185419,42646,4587
5 Series,2024,South America,White,Hybrid,Manual,3.9,148110,84075,3784
i3,2023,North America,Silver,Petrol,Manual,4.8,149965,64689,152
M3,2022,Middle East,Grey,Petrol,Manual,1.8,15285,32850,7316
X5,2021,North America,Red,Petrol,Manual,3.3,12396,33478,3307
i3,2021,Asia,White,Electric,Automatic,5.0,96289,68613,3778
M5,2022,Africa,Red,Hybrid,Manual,2.3,147210,32378,1697
X1,2022,Africa,White,Hybrid,Automatic,3.7,98671,76243,4919
5 Series,2020,Middle East,Black,Electric,Automatic,4.0,54792,32098,6789
X1,2024,North America,Blue,Diesel,Manual,4.1,165421,116930,4127
X3,2023,Africa,Blue,Electric,Manual,2.2,35748,81018,7315
M5,2022,North America,Silver,Petrol,Automatic,2.3,135856,70563,2920
i8,2022,Middle East,Black,Electric,Automatic,1.8,193139,71212,9617
X3,2022,North America,Black,Petrol,Automatic,2.8,91377,67455,191
3 Series,2020,North America,Silver,Electric,Manual,4.6,158155,91664,9044
X5,2022,Middle East,Grey,Petrol,Manual,3.0,91868,46951,6053
X1,2023,Asia,Red,Diesel,Manual,3.1,192788,54701,9248
5 Series,2024,Europe,Black,Hybrid,Automatic,2.3,130179,91979,8539
X1,2021,North America,White,Diesel,Manual,4.8,154936,73794,2041
X5,2021,South America,Blue,Hybrid,Automatic,3.7,21114,107713,2441
X1,2020,Europe,Red,Hybrid,Manual,4.1,56457,36599,2333
i8,2021,South America,Grey,Diesel,Automatic,3.0,177391,35102,3994
X5,2024,Africa,Silver,Diesel,Automatic,2.1,105621,80833,4091
X5,2022,Asia,Silver,Electric,Automatic,3.5,38531,72432,8076
X6,2022,North America,White,Electric,Manual,1.7,106404,89119,6766
i8,2024,South America,Black,Electric,Manual,3.6,124693,31190,8573
M5,2020,North America,Silver,Petrol,Automatic,4.1,18555,69580,3851
5 Series,2022,Europe,White,Electric,Manual,2.0,7706,75901,8547
5 Series,2021,Middle East,Red,Petrol,Automatic,2.3,100713,95262,3784
X3,2021,Europe,Silver,Petrol,Automatic,2.5,43221,85916,4694
i3,2024,South America,Black,Diesel,Manual,4.6,62964,32596,3414
i3,2020,Europe,Black,Hybrid,Automatic,2.5,193498,79599,9980
X1,2020,Asia,Blue,Petrol,Automatic,2.3,129297,88921,1090
5 Series,2022,Europe,Red,Electric,Automatic,3.4,98689,70283,6713
3 Series,2024,Africa,Red,Electric,Automatic,2.6,110657,65319,818
7 Series,2021,South America,Blue,Petrol,Manual,4.2,145072,38063,8914
i8,2020,Europe,Grey,Electric,Automatic,3.8,102821,64537,5524
X5,2021,Africa,Black,Diesel,Automatic,2.4,76895,58251,1930
M3,2023,North America,Red,Diesel,Automatic,3.3,40004,116261,2451
5 Series,2021,Middle East,White,Petrol,Manual,1.6,41031,108211,6274
M5,2021,North America,Silver,Hybrid,Automatic,2.0,198218,103367,4365
X3,2021,Africa,Silver,Diesel,Manual,2.9,107813,57356,1355
M5,2024,Middle East,Black,Diesel,Manual,3.6,80467,94539,8496
X1,2020,Europe,White,Hybrid,Automatic,3.8,41809,61336,3859
M3,2023,Middle East,Black,Electric,Automatic,3.9,7385,41441,3240
X3,2024,North America,Grey,Diesel,Automatic,1.8,164725,31672,2380
M5,2020,Asia,White,Petrol,Automatic,2.1,138933,63549,7725
X6,2020,Africa,Silver,Hybrid,Automatic,4.9,79094,47364,1424
5 Series,2023,South America,Black,Hybrid,Manual,1.9,41174,112714,2617
3 Series,2020,Africa,White,Diesel,Manual,3.7,192220,119909,1345
X5,2021,Middle East,Silver,Electric,Automatic,1.6,78654,50590,4263
X3,2024,Asia,White,Diesel,Automatic,2.3,170790,113655,5972
M3,2024,Middle East,Red,Diesel,Automatic,2.9,150475,50552,9500
X6,2024,Europe,Grey,Electric,Manual,2.8,102180,34805,7601
X1,2022,Europe,Grey,Petrol,Automatic,3.1,14226,61097,9318
7 Series,2024,Europe,Grey,Petrol,Manual,1.7,50816,53417,1517
X1,2022,Europe,Black,Hybrid,Manual,3.3,42212,46654,862
7 Series,2024,Asia,White,Hybrid,Automatic,2.4,136352,49854,2718
X5,2020,North America,Black,Hybrid,Automatic,1.7,162051,49596,7157
M3,2022,North America,Red,Diesel,Automatic,3.2,81117,106140,4474
X1,2024,Europe,Red,Electric,Manual,2.3,87155,33172,6853
X5,2023,Europe,White,Petrol,Manual,1.5,132719,78563,286
X6,2022,Middle East,Grey,Petrol,Manual,2.5,96095,76704,5415
X3,2024,Europe,Grey,Petrol,Automatic,3.2,128385,79849,1587
X3,2022,Middle East,Grey,Electric,Manual,4.0,100748,40449,5980
X3,2020,South America,Red,Hybrid,Automatic,2.9,53399,58492,7395
i8,2023,South America,Blue,Diesel,Automatic,2.2,34206,103589,7289
7 Series,2021,Africa,Silver,Hybrid,Automatic,4.8,80919,41347,4863
5 Series,2023,South America,Black,Hybrid,Manual,3.4,63692,35613,2764
7 Series,2023,Europe,Grey,Electric,Manual,2.9,37628,48833,6976
M5,2024,Africa,Black,Hybrid,Automatic,1.6,61237,96522,682
5 Series,2023,Africa,Blue,Diesel,Automatic,2.6,90790,56902,1794
i8,2024,South America,Red,Electric,Manual,2.4,14322,115221,808
3 Series,2022,Europe,Red,Hybrid,Manual,4.9,8610,52828,6751
i3,2021,South America,White,Petrol,Automatic,4.0,33293,115679,4000
7 Series,2024,Africa,Black,Electric,Manual,2.0,49373,78973,3066
i3,2024,Middle East,Black,Diesel,Automatic,2.3,20076,110398,2996
X1,2023,Middle East,Grey,Diesel,Manual,4.3,130851,100839,4492
X3,2023,Africa,White,Diesel,Manual,3.2,129852,71310,4150
7 Series,2023,Europe,Black,Petrol,Automatic,3.1,13050,37333,4519
7 Series,2024,Africa,Red,Hybrid,Automatic,2.4,86491,45531,9350
X1,2020,Africa,White,Diesel,Automatic,4.9,62449,78972,4878
5 Series,2023,South America,Grey,Petrol,Automatic,4.3,43226,69103,7167
M5,2021,Europe,Red,Hybrid,Manual,2.4,38932,47669,5434
X1,2022,Asia,Blue,Petrol,Automatic,2.9,187334,110031,5912
i8,2022,Middle East,Black,Hybrid,Automatic,4.5,162475,43041,8483
3 Series,2022,North America,Blue,Electric,Automatic,3.5,22635,39114,6416
X5,2022,Africa,Black,Petrol,Manual,3.4,110413,112713,5272
7 Series,2020,South America,Black,Hybrid,Manual,3.7,71987,54755,4276
i8,2021,Asia,Black,Hybrid,Automatic,2.9,54576,84038,1549
X6,2021,Asia,White,Electric,Manual,2.0,165343,47975,3901
X5,2022,Africa,Red,Hybrid,Manual,3.5,30589,48682,4477
M5,2024,Europe,Black,Diesel,Manual,2.1,66883,92309,7454
5 Series,2024,Middle East,Silver,Electric,Manual,2.7,9117,118410,2960
i8,2021,South America,Grey,Petrol,Manual,3.4,82228,107923,676
X5,2023,North America,Black,Electric,Automatic,4.3,91087,76864,345
i8,2023,Europe,Black,Electric,Automatic,3.3,27499,77366,2470
X3,2020,South America,Grey,Petrol,Manual,2.2,184913,90844,3442
3 Series,2022,South America,Silver,Hybrid,Automatic,5.0,37248,68435,4533
i3,2023,Asia,White,Petrol,Automatic,4.6,172224,44785,6297
X1,2022,South America,White,Hybrid,Automatic,1.8,126766,101079,7443
i3,2024,Middle East,Red,Hybrid,Manual,2.4,32497,110861,8453
X5,2023,North America,Blue,Diesel,Manual,4.7,164005,39060,5474
X3,2023,Asia,Black,Hybrid,Manual,2.0,76236,45974,2943
X3,2021,South America,Silver,Petrol,Manual,3.0,30206,109734,3563
3 Series,2023,Asia,Blue,Electric,Automatic,4.8,52987,57476,3414
X6,2024,Asia,Blue,Petrol,Manual,4.0,14102,47737,4322
7 Series,2023,Asia,Red,Diesel,Manual,3.0,85431,78773,8783
5 Series,2024,Asia,Grey,Hybrid,Automatic,4.3,127975,37804,165
X6,2022,Africa,Red,Electric,Automatic,1.5,163433,39468,9602
i3,2020,South America,Grey,Electric,Manual,3.6,46155,55418,7912
X6,2021,North America,Red,Electric,Manual,4.6,25207,55393,8192
X6,2024,South America,Grey,Hybrid,Automatic,4.0,128834,47959,2695
X1,2023,North America,Silver,Diesel,Automatic,4.9,21669,102479,4074
X3,2024,Asia,Blue,Electric,Manual,3.4,12483,31058,8382
5 Series,2020,Africa,Red,Hybrid,Automatic,4.0,9829,43321,119
3 Series,2021,South America,Blue,Petrol,Automatic,1.8,10490,116356,7411
i8,2024,Europe,Silver,Petrol,Automatic,4.2,114661,117547,6743
X3,2024,Africa,White,Petrol,Manual,4.7,182923,84478,7004
X1,2022,Europe,Black,Petrol,Automatic,2.9,180927,74293,2296
3 Series,2021,North America,Grey,Petrol,Manual,5.0,168369,115370,3699
i8,2022,Asia,Red,Electric,Manual,3.8,146759,97359,1849
M3,2021,South America,Blue,Hybrid,Manual,4.7,1926,96347,6786
M3,2020,North America,Silver,Diesel,Manual,2.8,136105,72326,2906
X3,2020,Africa,Grey,Diesel,Automatic,2.9,126901,102096,296
X3,2020,Europe,Black,Hybrid,Automatic,4.5,32725,109860,214
X6,2021,North America,Red,Hybrid,Manual,4.7,136118,48853,1723
X1,2024,South America,Blue,Electric,Manual,2.0,9362,100039,3767
X6,2022,North America,Grey,Petrol,Manual,2.2,137569,101732,6949
M5,2021,South America,Blue,Hybrid,Manual,1.5,81621,55874,8163
X1,2022,Africa,Grey,Hybrid,Manual,1.9,45411,89141,6940
7 Series,2021,Asia,Silver,Petrol,Manual,4.0,167389,35717,1346
X3,2020,North America,Grey,Diesel,Automatic,3.7,56762,103752,6782
M5,2024,Europe,Black,Electric,Manual,2.7,51810,68596,4430
7 Series,2020,South America,Blue,Diesel,Automatic,4.2,157153,96293,2545
5 Series,2022,Europe,Grey,Petrol,Manual,4.6,114244,111397,5053
5 Series,2021,Asia,Red,Petrol,Automatic,3.4,742,93890,9760
X1,2020,Asia,White,Hybrid,Automatic,5.0,22596,39098,5887
i3,2024,South America,Blue,Hybrid,Automatic,3.2,172187,99308,6249
3 Series,2023,Europe,Blue,Electric,Automatic,4.9,121507,102075,3887
i8,2021,Africa,Grey,Hybrid,Manual,2.2,92137,34324,9867
X1,2021,Asia,Blue,Hybrid,Automatic,3.9,187414,52386,7094
X6,2024,Africa,Grey,Hybrid,Automatic,2.4,77851,33949,6443
X3,2023,Africa,Black,Diesel,Automatic,2.5,184105,58801,6155
3 Series,2021,Africa,White,Diesel,Manual,1.9,30995,108942,9128
X6,2021,Europe,White,Electric,Automatic,2.7,69078,92212,3468
X5,2022,Africa,Grey,Hybrid,Manual,4.4,100660,48736,5391
X6,2022,North America,Grey,Electric,Manual,2.2,95331,34913,7335
M5,2024,North America,Black,Petrol,Automatic,3.3,147542,86439,3722
i8,2020,North America,White,Diesel,Automatic,2.7,135090,71117,8626
i8,2022,Africa,Silver,Hybrid,Manual,2.8,117231,97733,2282
3 Series,2022,Asia,Blue,Diesel,Manual,2.6,151767,96847,1452
X3,2022,Asia,Silver,Electric,Manual,1.8,160731,30948,5931
3 Series,2021,North America,Black,Electric,Manual,2.1,80429,97179,7508
M5,2021,South America,Blue,Hybrid,Automatic,2.1,122007,61853,3453
i8,2021,Europe,Black,Petrol,Manual,3.5,50221,93533,4444
M5,2021,Africa,Silver,Hybrid,Manual,2.8,61940,86643,4103
7 Series,2021,Europe,Silver,Hybrid,Automatic,4.2,192075,100677,4581
M3,2020,North America,Black,Hybrid,Manual,2.8,47164,79096,7375
i8,2022,North America,Red,Petrol,Automatic,3.2,36185,109648,9560
X1,2021,North America,Black,Hybrid,Manual,4.9,121151,49178,9909
X6,2024,Europe,Black,Electric,Manual,2.5,8823,85269,3212
3 Series,2023,Europe,Blue,Electric,Manual,4.3,69607,47001,9568
i3,2022,Asia,White,Hybrid,Manual,1.5,10263,30996,1843
M5,2023,Africa,Grey,Hybrid,Automatic,2.5,120211,38685,5319
X3,2024,South America,Blue,Hybrid,Manual,1.6,72842,91417,5514
X3,2021,South America,Blue,Diesel,Automatic,4.3,163166,66042,256
i8,2022,Africa,White,Electric,Automatic,4.8,98786,62658,4102
i3,2020,Europe,Black,Petrol,Manual,3.9,133692,45852,4949
3 Series,2021,North America,Grey,Electric,Automatic,3.2,114172,75974,502
M3,2021,Europe,Silver,Electric,Manual,4.9,157384,62699,5019
X3,2024,Asia,Silver,Hybrid,Automatic,3.7,17018,39177,7960
i8,2021,North America,White,Petrol,Automatic,2.0,43487,69210,1653
X5,2021,Europe,Grey,Electric,Automatic,3.4,22006,88761,6602
i8,2020,North America,Red,Hybrid,Automatic,2.5,18067,108180,1492
X6,2020,South America,Red,Diesel,Automatic,4.6,181674,60325,9398
i8,2024,Africa,Red,Hybrid,Automatic,3.1,147155,112025,2550
X5,2023,Africa,Red,Diesel,Automatic,1.9,168380,42229,8329
M3,2023,Middle East,Red,Hybrid,Manual,1.9,91637,108817,3378
X1,2021,Middle East,Silver,Diesel,Automatic,2.2,96105,64800,5702
X6,2020,Africa,Silver,Petrol,Manual,4.3,26162,67658,5529
7 Series,2022,Middle East,Silver,Diesel,Automatic,4.9,100623,92276,1957
X3,2024,South America,Blue,Diesel,Automatic,2.6,199938,35070,8287
M3,2020,Europe,White,Diesel,Automatic,4.0,67712,91110,9772
3 Series,2022,Asia,White,Diesel,Automatic,2.1,146575,91882,129
X6,2020,Africa,White,Electric,Manual,3.8,6707,62778,1488
M5,2022,South America,Silver,Electric,Automatic,3.2,6571,57059,604
X5,2022,Europe,Red,Petrol,Manual,4.1,162897,46629,7446
X3,2021,North America,Silver,Electric,Automatic,3.8,60774,108647,4712
3 Series,2022,Middle East,Blue,Hybrid,Manual,4.6,41879,105628,9252
i8,2024,South America,Black,Electric,Manual,2.1,118767,119412,7131
M3,2021,Europe,White,Hybrid,Manual,3.3,144900,39496,7939
X6,2021,Middle East,Silver,Diesel,Manual,2.5,70275,35875,4372
X1,2020,Europe,Red,Hybrid,Automatic,4.7,143639,83831,9558
7 Series,2024,Europe,Silver,Petrol,Manual,2.2,38023,100822,9242
M3,2021,Asia,Black,Hybrid,Automatic,4.8,24843,87059,6410
X5,2020,Asia,White,Diesel,Manual,2.6,3301,40597,4920
M3,2021,North America,Grey,Diesel,Automatic,3.4,52758,66059,310
7 Series,2020,North America,Red,Diesel,Manual,4.4,100748,84253,5305
i3,2022,Europe,Black,Diesel,Manual,2.6,106517,53680,5014
M3,2020,Asia,Silver,Petrol,Manual,4.7,186376,52077,3018
M5,2022,Africa,Blue,Petrol,Manual,4.2,110149,94277,7176
5 Series,2024,Africa,Black,Petrol,Manual,3.3,110828,62322,9217
5 Series,2024,Asia,Black,Petrol,Automatic,1.8,168639,30155,2166
M3,2021,South America,White,Hybrid,Automatic,4.9,3808,100256,4272
M5,2020,Middle East,Red,Diesel,Manual,4.6,79141,31996,1365
X3,2020,Asia,Silver,Diesel,Manual,3.8,150578,119593,3743
5 Series,2024,North America,Grey,Diesel,Manual,2.8,79543,55602,4203
i8,2021,South America,Black,Diesel,Manual,4.8,122488,37043,7879
X6,2024,North America,Red,Petrol,Automatic,3.5,174467,87833,3498
i8,2024,North America,Silver,Hybrid,Manual,3.8,152521,54166,9455
X1,2023,Middle East,White,Electric,Manual,2.3,122125,87268,7435
7 Series,2020,Asia,Red,Hybrid,Automatic,3.1,133394,48155,5418
M5,2020,North America,Black,Petrol,Manual,1.6,172000,85553,9449
i8,2024,North America,Red,Diesel,Manual,2.1,87988,84929,7891
3 Series,2022,Asia,Grey,Hybrid,Manual,2.0,60379,90997,7042
X6,2023,Asia,Silver,Electric,Automatic,4.9,195345,56700,8802
X5,2023,South America,Black,Hybrid,Manual,3.9,110947,108899,394
i8,2023,Europe,Red,Hybrid,Manual,3.4,94715,104449,3469
M3,2023,North America,Grey,Petrol,Automatic,4.8,139226,52945,9794
3 Series,2023,Europe,Grey,Petrol,Automatic,1.8,69252,52216,5712
3 Series,2022,Europe,Blue,Electric,Automatic,1.8,146986,107564,3790
M3,2024,Europe,Red,Petrol,Automatic,4.1,76901,47264,4437
X6,2023,Middle East,Grey,Electric,Automatic,2.3,178628,95658,5980
5 Series,2023,Middle East,White,Diesel,Manual,4.9,138838,73566,4163
i3,2022,South America,Black,Diesel,Automatic,4.5,192812,66338,3530
M5,2021,Middle East,Black,Petrol,Manual,3.7,107873,87924,9900
M5,2022,Europe,Red,Electric,Manual,4.1,153992,104526,4669
5 Series,2020,Middle East,White,Diesel,Automatic,2.8,163477,100108,6054
5 Series,2021,Asia,Red,Hybrid,Automatic,5.0,113625,54162,3413
X3,2020,Asia,Red,Petrol,Automatic,2.5,104276,92324,7681
i3,2022,Europe,Blue,Electric,Manual,1.9,152316,68528,2685
M3,2020,North America,Grey,Petrol,Manual,2.7,179828,114915,2709
M3,2024,Asia,White,Petrol,Automatic,3.5,160103,47011,4684
i3,2021,Asia,Blue,Hybrid,Automatic,3.5,47380,84737,2345
X6,2021,Europe,Black,Hybrid,Automatic,3.4,60097,97393,4749
5 Series,2021,South America,Black,Petrol,Automatic,3.1,108225,89370,3531
M3,2020,Africa,Grey,Hybrid,Automatic,4.5,148678,53793,9110
X1,2023,Africa,Black,Petrol,Manual,1.9,150308,67705,7587
5 Series,2021,South America,White,Electric,Automatic,4.4,58522,97283,4434
M3,2020,Africa,Blue,Hybrid,Automatic,4.1,121565,33185,6109
M5,2021,Asia,Black,Diesel,Automatic,2.0,98584,62551,7092
X1,2022,South America,White,Electric,Manual,1.8,81976,107112,9208
5 Series,2020,Africa,White,Petrol,Automatic,3.6,22852,113678,3932
3 Series,2022,Africa,Silver,Hybrid,Manual,4.5,65049,117535,9479
i3,2020,Europe,Black,Electric,Manual,5.0,98200,79178,9908
X1,2020,Middle East,Black,Petrol,Manual,3.8,89546,45634,4807
i8,2022,North America,Blue,Hybrid,Automatic,2.8,112218,51337,7201
i8,2023,North America,Grey,Petrol,Automatic,3.7,310,48540,8955
M5,2024,South America,Blue,Diesel,Automatic,3.0,157192,114987,5916
5 Series,2023,Africa,Red,Hybrid,Manual,3.5,121657,57402,5609
5 Series,2020,Asia,Red,Diesel,Automatic,4.2,88535,119322,8956
X1,2020,Europe,Red,Electric,Automatic,1.6,142787,70976,3582
X3,2022,Asia,White,Diesel,Automatic,2.9,179637,91213,8494
7 Series,2021,Asia,Blue,Diesel,Manual,4.0,158620,102080,4389
X1,2021,Europe,Black,Diesel,Automatic,3.7,126140,68141,2489
X6,2021,Asia,Silver,Petrol,Manual,4.0,16996,57277,2076
3 Series,2024,South America,White,Petrol,Automatic,4.5,84731,111136,6188
X5,2020,North America,Black,Diesel,Automatic,3.1,194974,69873,5746
M5,2021,South America,Grey,Diesel,Manual,2.6,124911,72813,6144
i8,2020,South America,White,Electric,Manual,1.7,101106,83798,1944
5 Series,2020,North America,Silver,Hybrid,Automatic,4.8,179145,110879,3923
X5,2022,Europe,Black,Diesel,Manual,4.9,160971,79285,1591
i3,2021,South America,Red,Hybrid,Automatic,3.0,55766,74508,769
X6,2022,Africa,Grey,Hybrid,Automatic,4.3,57407,53594,1208
X6,2022,North America,Black,Hybrid,Automatic,2.5,184121,49537,659
5 Series,2020,Asia,White,Diesel,Manual,3.9,172156,115648,6845
3 Series,2022,Africa,Blue,Electric,Manual,4.7,186282,49649,6432
i8,2023,Africa,Blue,Diesel,Automatic,3.0,70399,108800,2453
i3,2020,Middle East,Black,Diesel,Automatic,1.6,186930,49793,1604
X5,2023,Asia,Blue,Electric,Manual,3.1,141422,63008,9307
X1,2022,Asia,Blue,Hybrid,Automatic,1.7,65650,84458,7639
X6,2022,Asia,Grey,Diesel,Automatic,4.4,98343,117651,7049
X3,2020,South America,Red,Petrol,Manual,3.8,162772,70924,2959
3 Series,2022,Europe,Grey,Diesel,Manual,4.6,185936,42418,2224
X3,2020,North America,Silver,Electric,Manual,3.9,138540,79928,9656
7 Series,2020,Europe,White,Hybrid,Manual,2.8,7609,115076,7060
M3,2022,North America,Black,Diesel,Manual,4.0,6175,38594,5749
X6,2022,Africa,Silver,Petrol,Manual,3.4,193633,58909,5876
X3,2020,Asia,Black,Petrol,Automatic,3.2,129930,95552,1541
X3,2021,Middle East,Grey,Petrol,Automatic,1.6,127177,85348,6869
i3,2022,South America,Red,Petrol,Manual,5.0,55540,108912,5199
X3,2021,South America,Grey,Petrol,Manual,2.7,135756,118092,3492
M3,2024,Africa,Blue,Diesel,Automatic,1.7,150218,79438,8830
X1,2023,Europe,Black,Petrol,Manual,3.2,40882,84380,8648
7 Series,2024,Asia,Grey,Hybrid,Automatic,3.0,113961,37465,4782
M3,2022,Asia,Black,Petrol,Automatic,4.5,134325,34818,4243
M3,2022,Europe,White,Hybrid,Manual,2.3,158981,109803,3134
5 Series,2023,Africa,Red,Diesel,Manual,3.0,197186,110277,8042
i8,2021,Europe,Blue,Electric,Automatic,2.3,8294,114500,5014
X6,2023,North America,Blue,Petrol,Automatic,2.8,196321,70922,2542
X6,2020,Middle East,White,Diesel,Automatic,1.8,194808,66606,7238
5 Series,2024,Africa,Black,Hybrid,Automatic,4.9,149476,82125,3341
i8,2024,North America,Black,Electric,Manual,4.1,176680,80609,3903
M5,2020,Middle East,White,Diesel,Automatic,2.3,188033,66498,950
5 Series,2024,Asia,Red,Diesel,Manual,1.6,112745,107937,915
X5,2022,Middle East,Grey,Electric,Automatic,2.3,183641,56108,9493
i8,2022,Africa,Grey,Diesel,Automatic,3.9,186514,53249,982
M5,2022,Asia,Black,Diesel,Automatic,3.2,20713,34558,3971
M3,2024,Africa,Blue,Petrol,Automatic,4.2,8329,55498,8693
7 Series,2023,South America,Silver,Electric,Automatic,2.7,197167,93836,745
M5,2023,South America,Red,Electric,Automatic,1.7,153854,118084,4256
5 Series,2022,Europe,Black,Hybrid,Automatic,1.8,109360,69893,7224
M5,2021,Europe,Black,Electric,Manual,2.8,161447,86644,7911
X5,2022,Europe,Red,Electric,Manual,3.1,49692,95767,7312
i3,2024,Asia,Blue,Electric,Manual,1.8,76745,30203,9165
i8,2021,Asia,White,Petrol,Manual,3.6,50622,34153,7714
X6,2021,Africa,White,Diesel,Automatic,2.9,21639,98641,1568
i8,2024,Middle East,Silver,Electric,Manual,1.6,100727,41517,1082
X3,2024,South America,Silver,Hybrid,Automatic,4.3,104944,81268,2704
X6,2022,Asia,Silver,Diesel,Manual,4.6,88452,103930,3276
i8,2023,Middle East,Red,Diesel,Automatic,4.7,144539,82298,9996
M3,2023,Asia,Grey,Diesel,Manual,2.3,185623,39630,2514
X3,2020,Asia,Grey,Petrol,Manual,2.4,157470,76268,920
M5,2023,South America,White,Diesel,Automatic,3.3,73263,110158,5676
X6,2023,Africa,Red,Hybrid,Manual,3.5,116939,75893,2111
3 Series,2020,South America,Silver,Hybrid,Manual,4.6,140007,61963,2426
M5,2024,Middle East,Red,Hybrid,Manual,1.8,42754,56199,7180
5 Series,2020,Africa,Black,Diesel,Manual,2.3,56565,87706,6813
M5,2024,South America,Grey,Electric,Manual,2.4,186073,68269,8390
